24485,* MOFid-v1.NA.NAno_mof;24485,NA.MISSING_LINKERS.MOFkey-v1
24600,N#Cc1ccc(c(c1)O)C#N.Oc1cc2c(C(=O)[O-])c3ccc(c(c3c(c2c(c1O)O)C(=O)[O-])O)O.[O-]C(=O)C#CC1=C[C]=C(C=C1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24600,Zn.BBVVXKXISIFSHM.IBMFZBPUCJOAFZ.PFQFZSMPPHHMIM.MOFkey-v1.pcu
24601,Oc1cc(O)c2c(c1)nc1c(n2)c(O)c(cc1)O.[O-]C(=O)C#Cc1cc(O)c(cc1O)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1O)O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24601,Zn.FSNWEOVBZVWIET.RNXMMZCBLJLSGI.VNXJKWFUYSWASR.MOFkey-v1.pcu
24602,N#Cc1cc(O)c(cc1O)C#N.Oc1c(O)c(O)c2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(cc1)O.[O-]C(=O)C#Cc1ccc(c(c1)O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24602,Zn.PXGFWQGXUHNDOD.SGEJCTUZCWWDTQ.XCVWVIHAUUKVAL.MOFkey-v1.pcu
24603,* MOFid-v1.NA.NAno_mof;24603,NA.MISSING_LINKERS.MOFkey-v1
24604,* MOFid-v1.NA.NA;24604,
24605,N#Cc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-].N#Cc1cc(ccc1C#N)[C]n1nc2oc(=O)c3c4c2ccc2c(n1)oc(=O)c(c42)c1c3cc(c(c1)C#N)C#N.[Zn] MOFid-v1.pcu.cat0;24605,Zn.DUAZLOVJSAPMNR.QREMYNIIUSHZCM.MOFkey-v1.pcu
24606,N#CC1=C(C#CC(=O)[O-])C2C=C(C1[N][C]c1cc3c(cc1[C][N]2)c1c(=O)oc2c4c1c1c3c(=O)oc(c1cc4)nn(n2)[C]c1ccc(c(c1)C#N)C#N)C#CC(=O)[O-].[Zn] MOFid-v1.fse.cat0;24606,Zn.SBYMSCIVWNLWLK.MOFkey-v1.fse
24607,* MOFid-v1.NA.NAno_mof;24607,NA.MISSING_LINKERS.MOFkey-v1
24608,N#Cc1ccc(c(c1)OC)C#N.[CH2]Oc1cc(C#CC(=O)[O-])c(c(c1C#CC(=O)[O-])OC)O[CH2].COc1cc2c(c(c1O)OC)c(C(=O)[O-])c1c(c2C(=O)[O-])c(OC)c(c(c1)[O])O.[Zn][Zn] MOFid-v1.pcu.cat0;24608,Zn.NPGBOWTVFPJUAT.VHDLWGQRFLPNMI.MOFkey-v1.pcu
24609,COc1c(C#CC(=O)[O-])c([O])c(c(c1OC)C#CC(=O)[O-])OC.COc1cc(OC)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1OC.N#Cc1ccc(c(c1)OC)C#N.[Zn][Zn] MOFid-v1.pcu.cat0;24609,Zn.FARQRCSMLUNFHT.FPNSAOSQGQAKAI.VHDLWGQRFLPNMI.MOFkey-v1.pcu
2461,Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].Cc1cc(ccc1c1c(C)cc(c(c1C)C)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C=C1)C1=C(C)C=C([C]=C1C)c1ccc(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;2461,Zn.LLXODMSAZUUGKJ.LOTMWSDKJQNRQO.VLWQGEBWTFWSHY.MOFkey-v1.pcu
24610,* MOFid-v1.NA.NAno_mof;24610,NA.MISSING_LINKERS.MOFkey-v1
24611,* MOFid-v1.NA.NAno_mof;24611,NA.MISSING_LINKERS.MOFkey-v1
24612,COc1c(C#CC(=O)[O-])ccc(c1[O])C#CC(=O)[O-].COc1cc(OC)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(OC)ccc1.N#Cc1cc(OC)c(c(c1)OC)C#N.[Zn][Zn] MOFid-v1.pcu.cat0;24612,Zn.DGJNHUPNPGZMFR.HNWRYPOYSVKJBN.WMSKCWOXFNZUFR.MOFkey-v1.pcu
24613,CCOc1c(C#N)cc(c(c1OCC)C#N)OCC.[CH2]OC1=CC(=[C]C=C1C#CC(=O)[O-])C#CC(=O)[O-].[CH2]Oc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])C=[C]C=C1.[Zn][Zn] MOFid-v1.pcu.cat0;24613,Zn.CQAMEQRRCKELLS.LMRBCAUIPJHGHI.NIQKKKJOILCRFH.MOFkey-v1.pcu
24614,CCOc1c(C#CC(=O)[O-])cc(c(c1OCC)C#CC(=O)[O-])OCC.CCOc1cc2nc3c(OCC)cccc3nc2cc1OCC.[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24614,Zn.IUCPZNVTXMASAX.LRRPUFHCBXGDEM.QGOPOLLSUGCYHE.MOFkey-v1.pcu
24615,CCOC1=CC(C#CC(=O)[O-])[C]=C[C]1C#CC(=O)[O-].CCOc1cc(C#N)cc(c1C#N)OCC.CCOc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1)O[CH2])O[CH2].[Zn][Zn] MOFid-v1.pcu.cat0;24615,Zn.LCAYKDXIUAPBGV.NTVUREREHBPJCH.QIHBAWAQYUCNCI.MOFkey-v1.pcu
24616,CCOc1c(C#N)cc(c(c1OCC)C#N)OCC.CCOc1cc2c(cc1O[CH2])c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[O-]C(=O)C#CC1=C[C]=C(C=C1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24616,Zn.IBMFZBPUCJOAFZ.JREFGSFBYFMBBL.NIQKKKJOILCRFH.MOFkey-v1.pcu
24617,CCOc1cc(C#CC(=O)[O-])c(cc1C#CC(=O)[O-])O[CH2].CCOc1cc(C#N)cc(c1C#N)OCC.CCOc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[Zn][Zn] MOFid-v1.pcu.cat0;24617,Zn.LXNDKTTZNLWLAB.LXZHLNQXIFCAIM.NTVUREREHBPJCH.MOFkey-v1.pcu
24618,CCCOc1c(ccc(c1OCCC)C#CC(=O)[O-])C#CC(=O)[O-].CCCOc1cc(ccc1C#N)C#N.CCCOc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(cc1)OCCC.[Zn][Zn] MOFid-v1.pcu.cat0;24618,Zn.GXGOZVLWXWCESS.QWVIJRINKGMIGO.XUIXFYSOKMJADE.MOFkey-v1.pcu
24619,CCCOc1cc(C#N)c(cc1C#N)OCCC.CCCOc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24619,Zn.CTCACPBKLVRDEU.IUCPZNVTXMASAX.JZWSAPZGHXJZGF.MOFkey-v1.pcu
2462,Cc1cc(C(=O)[O-])c(c(c1C1=CC=C(C=[C]1)c1ccc(cc1)C(=O)[O-])C)C.[CH3].Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].[O-]C(=O)C1=CC=C([C]=C1)C1=C(C)C=C([C]=C1C)c1ccc(cc1C)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C=C1)C1=C(C)C=C([C]=C1C)c1ccc(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;2462,Zn.AKIBTVYBMPBMKH.LOTMWSDKJQNRQO.VLWQGEBWTFWSHY.MOFkey-v1.pcu
24620,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccc(cc1)C#Cc1ccncc1 MOFid-v1.pcu.cat0;24620,Zn.ARBAMECCCQZCSR.FDFGHPKPHFUHBP.SPKCEACOZLCRSV.MOFkey-v1.pcu
24621,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccc(cc1)C#Cc1ccncc1 MOFid-v1.pcu.cat1;24621,Zn.ARBAMECCCQZCSR.FDFGHPKPHFUHBP.SPKCEACOZLCRSV.MOFkey-v1.pcu
24622,FOC(=O)c1c2C=C(F)C(=[C]c2c(c2c1[C]=CC(=C2)F)C(=O)OF)F.Fc1cc(ccc1C#Cc1ccc(c(c1F)F)C(=O)[O-])C(=O)[O-].Fc1cnccc1C#Cc1ccncc1.[Zn][Zn] MOFid-v1.pcu.cat0;24622,Zn.MRVGVGODMCBEJJ.QBRVAYJGKKNWSI.YTWRCCMXRCWFNQ.MOFkey-v1.pcu
24623,FOC(=O)c1c2C=C(F)C(=[C]c2c(c2c1[C]=CC(=C2)F)C(=O)OF)F.Fc1cc(ccc1C#Cc1ccc(c(c1F)F)C(=O)[O-])C(=O)[O-].Fc1cnccc1C#Cc1ccncc1.[Zn][Zn] MOFid-v1.pcu.cat1;24623,Zn.MRVGVGODMCBEJJ.QBRVAYJGKKNWSI.YTWRCCMXRCWFNQ.MOFkey-v1.pcu
24624,FOC(=O)c1c2[C]=CC(=[C]c2c(c2c1cc(F)c(c2)F)C(=O)OF)F.Fc1cc(C#Cc2ccnc(c2F)F)c(c(n1)F)F.Fc1cc(C(=O)[O-])c(cc1C#Cc1c(F)cc(cc1F)C(=O)[O-])F.[Zn][Zn] MOFid-v1.pcu.cat0;24624,Zn.BZIMWBSBGGUBQZ.JCVNBXZYGIIEPY.QAZKCSPMMVAOSM.MOFkey-v1.pcu
24625,FOC(=O)c1c2[C]=CC(=[C]c2c(c2c1cc(F)c(c2)F)C(=O)OF)F.Fc1cc(C#Cc2ccnc(c2F)F)c(c(n1)F)F.Fc1cc(C(=O)[O-])c(cc1C#Cc1c(F)cc(cc1F)C(=O)[O-])F.[Zn][Zn] MOFid-v1.pcu.cat1;24625,Zn.BZIMWBSBGGUBQZ.JCVNBXZYGIIEPY.QAZKCSPMMVAOSM.MOFkey-v1.pcu
24626,Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(c(c1F)F)F.Fc1cccc2c1nc1cccc(c1n2)F.[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1F)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24626,Zn.GGIFLZATRXDMSR.PUFSDQSCLJWZHJ.UAACWGYNCGJFMY.MOFkey-v1.pcu
24627,Fc1nc(F)cc(c1)C#Cc1cc(F)ncc1F.[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(c(c1F)F)C#Cc1c(F)cc(c(c1F)F)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24627,Zn.FDFGHPKPHFUHBP.HAHRNBUVWNUCQX.JSYPZTGLGQUCRS.MOFkey-v1.pcu
24628,Fc1nc(F)cc(c1)C#Cc1cc(F)ncc1F.[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(c(c1F)F)C#Cc1c(F)cc(c(c1F)F)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24628,Zn.FDFGHPKPHFUHBP.HAHRNBUVWNUCQX.JSYPZTGLGQUCRS.MOFkey-v1.pcu
24629,ClC1=CC=[C]c2c1c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)ccc1.Clc1nc(Cl)cc(c1)C#Cc1cc(Cl)ncc1Cl.[O-]C(=O)C1=CC(=C(C(=[C]1)Cl)C#Cc1ccc(cc1Cl)C(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat0;24629,Zn.NAFSRLCJKCEYGV.OKVFRLOCGHUYRH.RZRAIKDZRQXIEE.MOFkey-v1.pcu
2463,Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].Cc1cc(ccc1c1c(C)cc(c(c1C)C)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C(=O)C1=CC=C([C]=C1)C1=C(C)C=C([C]=C1C)c1ccc(cc1C)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C=C1)C1=C(C)C=C([C]=C1C)c1ccc(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3;2463,Zn.LLXODMSAZUUGKJ.LOTMWSDKJQNRQO.VLWQGEBWTFWSHY.MOFkey-v1.pcu
24630,ClC1=CC=[C]c2c1c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)ccc1.Clc1nc(Cl)cc(c1)C#Cc1cc(Cl)ncc1Cl.[O-]C(=O)C1=CC(=C(C(=[C]1)Cl)C#Cc1ccc(cc1Cl)C(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat1;24630,Zn.NAFSRLCJKCEYGV.OKVFRLOCGHUYRH.RZRAIKDZRQXIEE.MOFkey-v1.pcu
24631,Clc1nccc(c1)C#Cc1c(Cl)cncc1Cl.[O-]C(=O)C1=CC=C(C(=[C]1)Cl)C#Cc1ccc(c(c1Cl)Cl)C(=O)[O-].[O-]C(=O)c1c2ccccc2c(c2c1[CH]C=CC2(Cl)Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24631,Zn.HSAGGTUNKHMFQI.VRZAAQNWTWUEHX.YXRIIJSNDSIXCN.MOFkey-v1.pcu
24632,Clc1nccc(c1)C#Cc1c(Cl)cncc1Cl.[O-]C(=O)C1=CC=C(C(=[C]1)Cl)C#Cc1ccc(c(c1Cl)Cl)C(=O)[O-].[O-]C(=O)c1c2ccccc2c(c2c1[CH]C=CC2(Cl)Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24632,Zn.HSAGGTUNKHMFQI.VRZAAQNWTWUEHX.YXRIIJSNDSIXCN.MOFkey-v1.pcu
24633,Clc1cc(C(=O)[O-])c(cc1C#Cc1c(Cl)cc(cc1Cl)C(=O)[O-])Cl.Clc1cc(Cl)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)cc(c1Cl)Cl.Clc1nc(Cl)cc(c1)C#Cc1ccncc1.[Zn][Zn] MOFid-v1.pcu.cat0;24633,Zn.AVMNUFCNYLKEDD.IARMJWCLZCLKGQ.IWOUPXGGCMMCBJ.MOFkey-v1.pcu
24634,Clc1cc(C(=O)[O-])c(cc1C#Cc1c(Cl)cc(cc1Cl)C(=O)[O-])Cl.Clc1cc(Cl)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)cc(c1Cl)Cl.Clc1nc(Cl)cc(c1)C#Cc1ccncc1.[Zn][Zn] MOFid-v1.pcu.cat1;24634,Zn.AVMNUFCNYLKEDD.IARMJWCLZCLKGQ.IWOUPXGGCMMCBJ.MOFkey-v1.pcu
24635,ClOC(=O)c1c2[C]=C(Cl)C(=Cc2c(c2c1ccc(c2)Cl)C(=O)[O-])Cl.ClOC(=O)c1c2[C]=CC(=Cc2c(c2c1ccc(c2)Cl)C(=O)[O-])Cl.Clc1nccc(c1Cl)C#Cc1c(Cl)c(Cl)nc(c1Cl)Cl.[Zn][Zn] MOFid-v1.pcu.cat0;24635,Zn.HNHGHBDVQMVFIB.KIKWGDUAEXGYSX.VYPXHJDVELCOBN.MOFkey-v1.pcu
24636,* MOFid-v1.NA.NAno_mof;24636,NA.MISSING_LINKERS.MOFkey-v1
24637,BrC1=CC=c2c(=[C]1)c(C(=O)[O-])c1c(c2C(=O)[O-])[C]=CC=[C]1.Brc1cnccc1C#Cc1ccnc(c1Br)Br.[O-]C(=O)C1=[C]C=C(C=[C]1)C#CC1=C[C]=C([C]=C1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24637,Zn.DKIPPFZISNAHML.OSEJBZWPWXGCSY.QRYYJYXUTHEJIM.MOFkey-v1.pcu
24638,BrC1=CC=c2c(=[C]1)c(C(=O)[O-])c1c(c2C(=O)[O-])[C]=CC=[C]1.Brc1cnccc1C#Cc1ccnc(c1Br)Br.[O-]C(=O)C1=[C]C=C(C=[C]1)C#CC1=C[C]=C([C]=C1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24638,Zn.DKIPPFZISNAHML.OSEJBZWPWXGCSY.QRYYJYXUTHEJIM.MOFkey-v1.pcu
24639,BrOC(=O)c1c2[C]=CC(=Cc2c(c2c1cccc2)C(=O)[O-])Br.Brc1cc(ccc1C#Cc1ccc(cc1Br)C(=O)[O-])C(=O)[O-].Brc1nccc(c1)C#Cc1cc(Br)nc(c1Br)Br.[Zn][Zn] MOFid-v1.pcu.cat0;24639,Zn.BJIVYTLFIRYYBN.IZHCCXVJXYRWFC.WBTLOEZFOBPGEI.MOFkey-v1.pcu
2464,Cc1cc(cc(c1c1ccc(cc1C)c1ccc(c(c1C)C)C(=O)[O-])C)C(=O)[O-].Cc1cc(ccc1C#Cc1cc(C)c(c(c1)C)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1cc(C)c(cc1C)c1ccc(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;2464,Zn.GTFFHWNCXRWCLC.WYFVYZWQWFSIGX.YVBUMAPCMXUMFU.MOFkey-v1.pcu
24640,BrOC(=O)c1c2[C]=CC(=Cc2c(c2c1cccc2)C(=O)[O-])Br.Brc1cc(ccc1C#Cc1ccc(cc1Br)C(=O)[O-])C(=O)[O-].Brc1nccc(c1)C#Cc1cc(Br)nc(c1Br)Br.[Zn][Zn] MOFid-v1.pcu.cat1;24640,Zn.BJIVYTLFIRYYBN.IZHCCXVJXYRWFC.WBTLOEZFOBPGEI.MOFkey-v1.pcu
24641,BrC1=C(C#CC2=C(Br)[C]=C(C=C2)C(Br)([O])[O])C=[C]C(=C1)C(Br)([O])[O].Brc1ncc(c(c1)C#Cc1c(Br)c(Br)nc(c1Br)Br)Br.[O-]C(=O)c1c2[C]=CC=C(c2c(c2=CC=C[C]=c12)C(=O)[O-])Br.[Zn][Zn] MOFid-v1.pcu,ERROR.cat0;24641,Zn.FNOWBPLTYILHKV.LMZOFMPCMXHHSD.WNZWYGRJFKADHW.MOFkey-v1.pcu
24642,BrC1=C(C#CC2=C(Br)[C]=C(C=C2)C(Br)([O])[O])C=[C]C(=C1)C(Br)([O])[O].BrC1=CC(=[C]C=C1C#CC1=C(Br)[C]=C(C=C1)C(Br)([O])[O])C(Br)([O])[O].Brc1ncc(c(c1)C#Cc1c(Br)c(Br)nc(c1Br)Br)Br.[O-]C(=O)c1c2[C]=CC=C(c2c(c2=CC=C[C]=c12)C(=O)[O-])Br.[Zn][Zn] MOFid-v1.pcu,ERROR.cat1;24642,Zn.FNOWBPLTYILHKV.LMZOFMPCMXHHSD.WNZWYGRJFKADHW.MOFkey-v1.pcu
24643,BrC1=C(C#CC2=CC=C(C=[C]2)C(Br)([O])[O])[C]=CC(=[C]1)C(Br)([O])[O].BrC1=Cc2c([C]=[C]1)c(C(=O)[O-])c1=[C]C(=[C][C]=c1c2C(=O)[O-])Br.Brc1ncc(c(c1)C#Cc1ccncc1)Br.[Zn][Zn] MOFid-v1.pcu,ERROR.cat0;24643,Zn.BEEGMXLQLZFYQC.FSDVBHVYHFADBQ.ZHEVKNQUWOTGBH.MOFkey-v1.pcu
24644,BrC1=C(C#CC2=CC=C(C=[C]2)C(Br)([O])[O])[C]=CC(=[C]1)C(Br)([O])[O].BrC1=C(C#CC2=[C]C=C(C=C2)C(Br)([O])[O])[C]=CC(=[C]1)C(Br)([O])[O].BrC1=Cc2c([C]=[C]1)c(C(=O)[O-])c1=[C]C(=[C][C]=c1c2C(=O)[O-])Br.Brc1ncc(c(c1)C#Cc1ccncc1)Br.[Zn][Zn] MOFid-v1.pcu,ERROR.cat1;24644,Zn.BEEGMXLQLZFYQC.FSDVBHVYHFADBQ.ZHEVKNQUWOTGBH.MOFkey-v1.pcu
24645,Cc1cc(C)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1C)C)C.Cc1nccc(c1)C#Cc1cc(C)nc(c1)C.[O-]C(=O)c1ccc(cc1C)C#Cc1ccc(c(c1)C)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24645,Zn.MBIBYUHJNLDIFF.NIFKWPYZDKXKEQ.QYHWZNZOPPZPIJ.MOFkey-v1.pcu
24646,Cc1cc(C)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1C)C)C.Cc1nccc(c1)C#Cc1cc(C)nc(c1)C.[O-]C(=O)c1ccc(cc1C)C#Cc1ccc(c(c1)C)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24646,Zn.MBIBYUHJNLDIFF.NIFKWPYZDKXKEQ.QYHWZNZOPPZPIJ.MOFkey-v1.pcu
24647,Cc1c(C)cc2c(c1C)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[O-]C(=O)c1ccc(cc1C)C#Cc1c(C)cc(c(c1C)C)C(=O)[O-].[Zn][Zn].n1ccc(cc1)C#Cc1ccncc1 MOFid-v1.pcu.cat0;24647,Zn.NYMCFNUIPSZBOV.SPKCEACOZLCRSV.ZUIAKSPWUCVHBU.MOFkey-v1.pcu
24648,Cc1c(C)cc2c(c1C)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[O-]C(=O)c1ccc(cc1C)C#Cc1c(C)cc(c(c1C)C)C(=O)[O-].[Zn][Zn].n1ccc(cc1)C#Cc1ccncc1 MOFid-v1.pcu.cat1;24648,Zn.NYMCFNUIPSZBOV.SPKCEACOZLCRSV.ZUIAKSPWUCVHBU.MOFkey-v1.pcu
24649,Cc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(cc1)C.Cc1ncc(c(c1)C#Cc1ccncc1C)C.[O-]C(=O)c1c2c(ccc(c2C)C)c(c2c1ccc(c2C)C)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24649,Zn.AESBAIGOAKYLCT.WBJYVYVEYYPMPZ.WFYANKXFXJBYKX.MOFkey-v1.pcu
2465,Cc1cc(cc(c1c1ccc(cc1C)c1ccc(c(c1C)C)C(=O)[O-])C)C(=O)[O-].Cc1cc(ccc1C#Cc1cc(C)c(c(c1)C)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1cc(C)c(cc1C)c1ccc(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;2465,Zn.GTFFHWNCXRWCLC.WYFVYZWQWFSIGX.YVBUMAPCMXUMFU.MOFkey-v1.pcu
24650,Cc1cc(C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])C.Cc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.Cc1nccc(c1)C#Cc1cc(C)ncc1C.[Zn][Zn] MOFid-v1.pcu.cat0;24650,Zn.GTIRVXKBKSAHEK.LBBALMBZSIPMAF.OFLDYTKRLOTSRJ.MOFkey-v1.pcu
24651,Cc1cc(C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])C.Cc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.Cc1nccc(c1)C#Cc1cc(C)ncc1C.[Zn][Zn] MOFid-v1.pcu.cat1;24651,Zn.GTIRVXKBKSAHEK.LBBALMBZSIPMAF.OFLDYTKRLOTSRJ.MOFkey-v1.pcu
24652,CCc1ncc(c(c1)C#Cc1c(CC)cnc(c1CC)CC)CC.[Zn][Zn] MOFid-v1.pcu.cat0;24652,Zn.XJQDSMHOSQLHAQ.MOFkey-v1.pcu
24653,* MOFid-v1.NA.NA;24653,
24654,* MOFid-v1.NA.NA;24654,
24655,CCCc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1)CCC)CCC.[Zn][Zn] MOFid-v1.pcu,sql.cat0;24655,Zn.XXESVBVFSFJGPJ.MOFkey-v1.pcu
24656,CCCc1cc(ccc1C#Cc1ccc(c(c1CCC)CCC)C(=O)[O-])C(=O)[O-].CCCc1ncc(c(c1)C#Cc1c(CCC)c(CCC)nc(c1CCC)CCC)CCC.[Zn][Zn] MOFid-v1.pcu.cat0;24656,Zn.IGRATRBIWWOIBA.KCVPPZVMCIDBIX.MOFkey-v1.pcu
24657,Nc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1)N)C(=O)[O-])N.Nc1nccc(c1)C#Cc1ccncc1N.[O-]C(=O)c1c2ccccc2c(c2c1cccc2N)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24657,Zn.UYVZHOXUJSKOAN.VLQIIFPADCRTDV.VXBPNQOMHAKSKP.MOFkey-v1.pcu
24658,Nc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1)N)C(=O)[O-])N.Nc1nccc(c1)C#Cc1ccncc1N.[O-]C(=O)c1c2ccccc2c(c2c1cccc2N)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24658,Zn.UYVZHOXUJSKOAN.VLQIIFPADCRTDV.VXBPNQOMHAKSKP.MOFkey-v1.pcu
24659,Nc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1)N)C(=O)[O-])N.Nc1nccc(c1)C#Cc1ccncc1N.[O-]C(=O)c1c2ccccc2c(c2c1cccc2N)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat2;24659,Zn.UYVZHOXUJSKOAN.VLQIIFPADCRTDV.VXBPNQOMHAKSKP.MOFkey-v1.pcu
2466,Cc1cc(cc(c1c1ccc(cc1C)c1ccc(c(c1C)C)C(=O)[O-])C)C(=O)[O-].Cc1cc(ccc1C#Cc1cc(C)c(c(c1)C)C(=O)[O-])C(=O)[O-].[O-]C(=O)C1=CC(=C([C]=C1)c1ccc(cc1C)c1ccc(c(c1C)C)C(=O)[O-])C.[CH3].[O-]C(=O)c1ccc(cc1)c1cc(C)c(cc1C)c1ccc(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;2466,Zn.GTFFHWNCXRWCLC.UUTZIPIMJHDEJH.WYFVYZWQWFSIGX.YVBUMAPCMXUMFU.MOFkey-v1.pcu
24660,NC1=Cc2c([C]=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(cc1)N.Nc1nccc(c1)C#Cc1ccnc(c1N)N.[Zn][Zn] MOFid-v1.pcu.cat0;24660,Zn.FAURAJGKDFZVPT.KOARYDDDSUZNTC.MOFkey-v1.pcu
24661,NC1=Cc2c([C]=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(cc1)N.Nc1nccc(c1)C#Cc1ccnc(c1N)N.[Zn][Zn] MOFid-v1.pcu.cat1;24661,Zn.FAURAJGKDFZVPT.KOARYDDDSUZNTC.MOFkey-v1.pcu
24662,Nc1cc2c3C(=O)O[NH2]c4c3c(c(c2cc1N)C(=O)[O-])c(c(c4N)N)N.Nc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(cc1)N.Nc1nccc(c1N)C#Cc1c(N)c(N)nc(c1N)N.[Zn][Zn] MOFid-v1.pcu.cat0;24662,Zn.LRVXAGRJXZCCFV.ODEHRTPNMHUQAX.QKEVYXRMCFOLOW.MOFkey-v1.pcu
